Year/Month,Fraud
2021/01,0.18759968710523123
2021/02,0.16751984350149782
2021/03,0.09301514355737771
2021/04,0.0661301889801811
2021/05,-0.06844498274261468
2021/06,-0.0710771427166436
2021/07,-0.07990299611751157
2021/08,-0.0653276977177029
2021/09,-0.09539718725217489
2021/10,-0.1081775975620486
2021/11,-0.13813663041142463
2021/12,-0.16160324622176814
2022/01,-0.17140226355906338
2022/02,-0.1712050471482853
2022/03,-0.1315503984234372
2022/04,-0.15472316386300153
2022/05,-0.15858428865227678
2022/06,-0.1555200645680313
2022/07,-0.16571212514638034
2022/08,-0.172769902729431
2022/09,-0.1327895064098497
2022/10,-0.12873930780444462
2022/11,-0.10308794865416065
2022/12,-0.05469414326009168
2023/01,-0.009525269244950459
2023/02,0.03742501922501268
2023/03,0.03617213536556674
2023/04,0.04166651966817644
2023/05,0.043438173930072536
2023/06,0.08967425432749702
