Year/Month,Price,Salary,Ratio,Inverse Ratio
2021/01,3.148616,1319.39,419.03807895278436,0.002386417965878171
2021/02,3.156063888888889,1319.39,418.049205101643,0.0023920629145960546
2021/03,3.2210713,1319.39,409.6121684732654,0.0024413337224020192
2021/04,3.2335284,1319.39,408.03414622862135,0.0024507752825169205
2021/05,3.2273046,1319.39,408.8210328829823,0.0024460581026080233
2021/06,3.140953363636364,1319.39,420.06035978595617,0.002380610254463323
2021/07,3.3187558000000004,1319.39,397.5556140647649,0.0025153713458492184
2021/08,3.072946181818182,1319.39,429.3566896180888,0.0023290658424106455
2021/09,3.1398231818181817,1319.39,420.2115608420915,0.0023797536602658664
2021/10,3.221261727272727,1319.39,409.5879539465606,0.0024414780521852726
2021/11,3.2842933333333337,1319.39,401.72721072417403,0.002489251345950275
2021/12,3.273005090909091,1319.39,403.1127246531517,0.0024806956933955014
2022/01,3.322680083333333,1173.4,353.1486542703317,0.002831668726208738
2022/02,3.455797090909091,1173.4,339.5453983935505,0.002945114275531865
2022/03,3.7109935,1173.4,316.195649493862,0.00316259885801943
2022/04,3.8713185833333337,1173.4,303.10086208138,0.0032992317908073403
2022/05,3.785448909090909,1173.4,309.97644617050105,0.0032260515673179723
2022/06,3.642432363636364,1173.4,322.1473682571157,0.003104169391201946
2022/07,3.694673363636364,1173.4,317.5923510719006,0.0031486904411422907
2022/08,3.9304581818181816,1173.4,298.5402580869591,0.0033496319940499245
2022/09,4.009389400000001,1173.4,292.66301746595127,0.0034168990966422365
2022/10,3.893498909090909,1173.4,301.37416945468635,0.003318134403520461
2022/11,4.097089636363637,1173.4,286.3984203776046,0.003491639369663914
2022/12,4.014677454545454,1173.4,292.2775274689791,0.00342140570525435
2023/01,4.191564181818182,1355.32,323.344684993491,0.003092674926820369
2023/02,4.291959090909091,1355.32,315.78120184573476,0.0031667496169975294
2023/03,4.313857909090909,1355.32,314.17817382066175,0.0031829072905962498
2023/04,4.404135363636364,1355.32,307.73804347397544,0.0032495169876017205
2023/05,4.3490646,1355.32,311.6348283260727,0.003208883953605053
2023/06,4.4140347,1355.32,307.04788070651097,0.0032568210459522477
