Year/Month,Fraud
2021/01,-0.10532747400317173
2021/02,1.2709348900511757
2021/03,0.18920438947145077
2021/04,0.2872449591471832
2021/05,0.0960422822227214
2021/06,-0.043609712999868225
2021/07,-0.062466786959351026
2021/08,-0.16193485928858525
2021/09,0.025791874915090156
2021/10,0.08649203137486686
2021/11,0.13759632423
2021/12,-0.02642992757954212
2022/01,0.023266177981401022
2022/02,-0.3511022255729075
2022/03,0.014751427065877775
2022/04,-0.002200152467835103
2022/05,0.001309805019424382
2022/06,0.16032711744667008
2022/07,0.30398878656614675
2022/08,0.22760487357280862
2022/09,-0.0270122801484797
2022/10,0.0607273457991161
2022/11,0.07388239802496263
2022/12,0.08259310389026507
2023/01,0.06495586493034898
2023/02,0.7565713318177509
2023/03,0.32189596024118117
2023/04,0.11146224776360329
2023/05,-0.04248780603319993
2023/06,-0.148660570594017
