Year/Month,Fraud
2021/01,-0.07460792130754945
2021/02,-0.06224781584420062
2021/03,0.030467680625442927
2021/04,-0.002746931165192894
2021/05,-0.0736307248019451
2021/06,-0.06947026462221426
2021/07,-0.018427723268375634
2021/08,-0.016599946348179895
2021/09,0.07855638439691465
2021/10,0.1592639586298329
2021/11,-0.22417837298485677
2021/12,-0.20776281266463387
2022/01,0.08874679331698454
2022/02,-0.052062086043945646
2022/03,0.021331294421082392
2022/04,0.0016943482241817426
2022/05,0.15155072324093177
2022/06,0.02336156552738315
2022/07,-0.03667546529465119
2022/08,-0.07425623275426628
2022/09,-0.16948691912641983
2022/10,-0.03326532710019805
2022/11,0.03491112938209102
2022/12,0.09438713551087768
2023/01,0.19957013352662029
2023/02,-0.0700499178420959
2023/03,0.12322110825785772
2023/04,0.2102948893110329
2023/05,0.026400004640007534
2023/06,0.19082729533124815
